symbol,time,open,high,low,close,tick_volume,spread,real_volume
XAUUSD,2024-12-23 15:25:00,2611.5,2612.27,2609.9,2610.92,436,9,0
XAUUSD,2024-12-23 15:30:00,2611.15,2612.56,2610.73,2612.48,377,5,0
XAUUSD,2024-12-23 15:35:00,2612.48,2614.05,2612.17,2613.32,384,9,0
XAUUSD,2024-12-23 15:40:00,2613.27,2613.95,2612.14,2612.32,401,8,0
XAUUSD,2024-12-23 15:45:00,2612.33,2613.13,2611.92,2612.46,374,3,0
XAUUSD,2024-12-23 15:50:00,2612.38,2612.63,2610.13,2610.29,403,4,0
XAUUSD,2024-12-23 15:55:00,2610.3,2611.07,2609.29,2609.72,367,0,0
XAUUSD,2024-12-23 16:00:00,2609.71,2611.76,2609.52,2609.81,373,9,0
XAUUSD,2024-12-23 16:05:00,2609.82,2610.1,2608.79,2609.0,349,7,0
XAUUSD,2024-12-23 16:10:00,2608.98,2609.54,2608.14,2608.96,436,9,0
XAUUSD,2024-12-23 16:15:00,2609.12,2610.13,2608.21,2609.95,371,6,0
XAUUSD,2024-12-23 16:20:00,2610.09,2612.69,2609.86,2612.59,355,0,0
XAUUSD,2024-12-23 16:25:00,2612.5,2612.76,2611.61,2612.14,325,0,0
XAUUSD,2024-12-23 16:30:00,2612.25,2613.14,2611.56,2612.75,336,4,0
XAUUSD,2024-12-23 16:35:00,2612.77,2614.51,2612.39,2614.15,335,6,0
XAUUSD,2024-12-23 16:40:00,2614.12,2615.97,2613.77,2615.81,359,7,0
XAUUSD,2024-12-23 16:45:00,2615.86,2615.86,2613.81,2614.45,306,8,0
XAUUSD,2024-12-23 16:50:00,2614.46,2615.65,2614.28,2615.63,292,9,0
XAUUSD,2024-12-23 16:55:00,2615.64,2616.11,2614.82,2615.89,335,9,0
XAUUSD,2024-12-23 17:00:00,2615.94,2616.64,2615.67,2615.81,325,8,0
XAUUSD,2024-12-23 17:05:00,2615.8,2616.38,2615.04,2615.21,350,9,0
XAUUSD,2024-12-23 17:10:00,2615.12,2615.37,2613.97,2614.47,344,1,0
XAUUSD,2024-12-23 17:15:00,2614.47,2614.86,2612.93,2613.21,359,9,0
XAUUSD,2024-12-23 17:20:00,2613.31,2613.57,2612.73,2613.23,307,9,0
XAUUSD,2024-12-23 17:25:00,2613.22,2614.49,2613.22,2614.12,346,5,0
XAUUSD,2024-12-23 17:30:00,2614.15,2614.32,2612.96,2613.25,303,4,0
XAUUSD,2024-12-23 17:35:00,2613.25,2613.76,2612.87,2613.57,302,6,0
XAUUSD,2024-12-23 17:40:00,2613.55,2613.56,2612.39,2612.55,341,9,0
XAUUSD,2024-12-23 17:45:00,2612.32,2612.45,2611.43,2611.71,314,9,0
XAUUSD,2024-12-23 17:50:00,2611.71,2611.93,2610.69,2611.44,343,7,0
XAUUSD,2024-12-23 17:55:00,2611.46,2611.85,2610.95,2611.21,342,9,0
XAUUSD,2024-12-23 18:00:00,2611.21,2612.85,2610.98,2611.96,358,9,0
XAUUSD,2024-12-23 18:05:00,2612.09,2612.48,2611.45,2611.7,327,6,0
XAUUSD,2024-12-23 18:10:00,2611.73,2611.99,2610.74,2611.16,307,8,0
XAUUSD,2024-12-23 18:15:00,2611.12,2611.44,2610.27,2610.82,304,9,0
XAUUSD,2024-12-23 18:20:00,2610.81,2611.43,2610.76,2610.78,334,9,0
XAUUSD,2024-12-23 18:25:00,2610.81,2612.05,2610.73,2611.46,354,9,0
XAUUSD,2024-12-23 18:30:00,2611.42,2612.43,2610.92,2611.91,333,9,0
XAUUSD,2024-12-23 18:35:00,2611.91,2612.35,2610.59,2611.1,329,9,0
XAUUSD,2024-12-23 18:40:00,2611.08,2611.8,2610.48,2610.61,279,9,0
XAUUSD,2024-12-23 18:45:00,2610.61,2612.29,2610.48,2611.85,241,9,0
XAUUSD,2024-12-23 18:50:00,2611.86,2611.9,2609.95,2610.01,166,9,0
XAUUSD,2024-12-23 18:55:00,2610.02,2610.7,2609.99,2610.49,274,9,0
XAUUSD,2024-12-23 19:00:00,2610.55,2611.3,2610.27,2610.87,257,9,0
XAUUSD,2024-12-23 19:05:00,2610.86,2611.49,2610.39,2611.17,204,9,0
XAUUSD,2024-12-23 19:10:00,2611.12,2611.49,2610.54,2611.46,248,9,0
XAUUSD,2024-12-23 19:15:00,2611.45,2612.44,2611.17,2612.44,209,9,0
XAUUSD,2024-12-23 19:20:00,2612.54,2612.54,2611.15,2611.31,247,8,0
XAUUSD,2024-12-23 19:25:00,2611.32,2611.68,2610.31,2610.33,287,9,0
XAUUSD,2024-12-23 19:30:00,2610.33,2611.44,2610.18,2610.83,223,9,0
XAUUSD,2024-12-23 19:35:00,2610.84,2610.99,2610.35,2610.56,277,9,0
XAUUSD,2024-12-23 19:40:00,2610.55,2611.26,2610.35,2610.57,221,9,0
XAUUSD,2024-12-23 19:45:00,2610.58,2611.5,2610.02,2610.21,221,9,0
